,time,d2_bw1,k_bw1,do,mf_xe,p_atm,x_loc_fit,x_vel_fit,y_loc_fit,y_vel_fit,tot_vel_fit
131,5.967,9.0679499664,0.5156829272,3.387,air,1,4.45854214,0.3310396913,-0.8442886052,-0.0006371133,0.3310403044
132,6,9.0509598296,0.5153355485,3.387,air,1,4.4671941742,0.3292371686,-0.8440329162,-0.0032135321,0.3292528511
133,6.034,9.0334823476,0.5149796535,3.387,air,1,4.4760506383,0.3280045064,-0.8439482528,-0.0059431867,0.3280583449
134,6.067,9.0165455919,0.5146371878,3.387,air,1,4.4846183596,0.3274129946,-0.8440428613,-0.0086418576,0.3275270229
135,6.1,8.9996350643,0.5142986394,3.387,air,1,4.4931846905,0.3274140957,-0.8443131937,-0.0113657962,0.3276113114
136,6.134,8.9822394212,0.5139549782,3.387,air,1,4.5020357003,0.3280298557,-0.8447755279,-0.0141746057,0.3283359646
137,6.167,8.9653817783,0.5136274401,3.387,air,1,4.5106753883,0.3292176451,-0.8454012157,-0.0168801323,0.3296501126
138,6.2,8.9485498922,0.5133068339,3.387,air,1,4.5193865487,0.330979445,-0.8461984508,-0.0195433195,0.3315559295
139,6.234,8.9312345975,0.5129848139,3.387,air,1,4.5284596618,0.3333865918,-0.8471950918,-0.0222206993,0.3341262921
140,6.267,8.9144540876,0.5126813394,3.387,air,1,4.5373826926,0.3362888568,-0.8483273236,-0.0247340095,0.3371972219
141,6.3,8.8976982839,0.5123877999,3.387,air,1,4.5464414325,0.3397398011,-0.8496158531,-0.0271436447,0.3408224023
142,6.334,8.8804600392,0.5120967885,3.387,air,1,4.5559377451,0.3438598072,-0.8510994551,-0.0294982395,0.3451227508
143,6.367,8.8637527649,0.5118264126,3.387,air,1,4.5653332563,0.3483972661,-0.8526826912,-0.0316411259,0.3498311248
144,6.4,8.8470684101,0.5115688905,3.387,air,1,4.5749244714,0.3534560113,-0.8543981121,-0.0336266814,0.355051976
145,6.434,8.8299016213,0.5113179891,3.387,air,1,4.5850319265,0.3592032269,-0.856293473,-0.0354910398,0.3609523128
146,6.467,8.813261312,0.511089393,3.387,air,1,4.5950816414,0.3652906076,-0.8582463851,-0.0371092068,0.3671706977
147,6.5,8.7966412664,0.5108763819,3.387,air,1,4.6053879795,0.3718687978,-0.8602992803,-0.0385248288,0.3738590178
148,6.534,8.7795376312,0.5106741022,3.387,air,1,4.6162971204,0.3791473384,-0.8625058763,-0.0397580401,0.3812261874
149,6.567,8.7629552797,0.510495271,3.387,air,1,4.6271892345,0.3866847843,-0.8647228144,-0.0407245471,0.3888233675
150,6.6,8.7463895772,0.5103344382,3.387,air,1,4.6384025654,0.3946734247,-0.866999723,-0.0414539343,0.3968444794
151,6.634,8.7293378064,0.5101882971,3.387,air,1,4.6503148022,0.4033586045,-0.8693928181,-0.0419485307,0.4055340221
152,6.667,8.7128014543,0.5100661052,3.387,air,1,4.6622476529,0.4122102365,-0.8717456771,-0.0421724245,0.41436191
153,6.7,8.6962771477,0.5099638587,3.387,air,1,4.6745676883,0.4214561244,-0.8741124239,-0.0421391948,0.4235575245
154,6.734,8.6792628733,0.509879917,3.387,air,1,4.6876880076,0.4313695201,-0.8765486903,-0.0418331633,0.4333932123
155,6.767,8.662757591,0.5098196684,3.387,air,1,4.700857012,0.4413403708,-0.8788950005,-0.0412716763,0.4432659181
156,6.8,8.6462588034,0.5097806904,3.387,air,1,4.7144724148,0.4516260582,-0.8812076866,-0.0404511231,0.4534339972
157,6.867,8.6127727994,0.5097680265,3.387,air,1,4.7435532221,0.4733480146,-0.8857392324,-0.0380042785,0.4748712122
158,6.9,8.5962810057,0.5097948076,3.387,air,1,4.7586098392,0.4843920692,-0.8878630473,-0.036426863,0.48575981
159,6.934,8.5792871984,0.5098452125,3.387,air,1,4.7746413828,0.4959599762,-0.8899596009,-0.0345558393,0.4971623518
160,6.967,8.5627886375,0.5099161571,3.387,air,1,4.7907099612,0.5073353392,-0.8918950129,-0.0325107281,0.5083759376
161,7,8.5462831815,0.510008569,3.387,air,1,4.8072814312,0.5188212673,-0.8937234878,-0.0302498996,0.51970238
162,7.034,8.5292678036,0.5101258788,3.387,air,1,4.8248798511,0.5307355289,-0.8954877002,-0.0277056993,0.5314581897
163,7.067,8.5127409085,0.5102607235,3.387,air,1,4.8424659363,0.5423446478,-0.8970776934,-0.0250381938,0.542922304
164,7.1,8.4961997423,0.5104156666,3.387,air,1,4.8605430965,0.553968366,-0.8985423781,-0.0221854239,0.5544124309
165,7.134,8.4791398036,0.5105955996,3.387,air,1,4.8796722731,0.5659308851,-0.8999165553,-0.0190621714,0.5662518283
166,7.167,8.4625621042,0.5107891096,3.387,air,1,4.8987170915,0.577503544,-0.9011166447,-0.0158607846,0.5777213064
167,7.2,8.4459627185,0.5110002689,3.387,air,1,4.9182204481,0.5890171632,-0.9021831183,-0.012499476,0.5891497733
168,7.234,8.4288351105,0.5112351761,3.387,air,1,4.9387798961,0.6007986531,-0.9031407308,-0.0088758023,0.6008642122
169,7.267,8.4121843836,0.5114788118,3.387,air,1,4.9591710134,0.6121394923,-0.9039321526,-0.0052083386,0.6121616493
170,7.3,8.3955048836,0.5117365478,3.387,air,1,4.9799765198,0.6233754893,-0.9045868282,-0.0013969466,0.6233770545
171,7.334,8.3782875264,0.5120153526,3.387,air,1,5.0018293675,0.6348329107,-0.9051175468,0.0026772755,0.6348385561
172,7.367,8.3615429381,0.5122972632,3.387,air,1,5.0234279351,0.645831727,-0.9054922412,0.0067726583,0.6458672375
173,7.4,8.344763209,0.5125886583,3.387,air,1,5.0453933732,0.6567076929,-0.9057275609,0.0110059694,0.6567999127
174,7.434,8.3274362678,0.512896961,3.387,air,1,5.0683920206,0.6677845452,-0.9058227953,0.0155118157,0.6679646812
175,7.467,8.3105795626,0.5132021415,3.387,air,1,5.0910559603,0.6784132855,-0.9057705334,0.020026004,0.6787087938
176,7.5,8.2936824593,0.5135112139,3.387,air,1,5.1140425031,0.6889266902,-0.9055734903,0.0246805511,0.6893686344
177,7.534,8.2762295629,0.5138315703,3.387,air,1,5.1380494588,0.699646069,-0.9052161668,0.029625291,0.7002730038
178,7.567,8.259246232,0.5141421896,3.387,air,1,5.1616527923,0.7099510079,-0.9047162527,0.0345721619,0.7107922819
179,7.6,8.2422187247,0.5144502762,3.387,air,1,5.1855439187,0.7201703622,-0.9040617196,0.0396675636,0.7212619955
180,7.634,8.2246281154,0.5147626506,3.387,air,1,5.2104512645,0.7306244831,-0.903221127,0.045076337,0.7320136689
181,7.667,8.2075084744,0.515058546,3.387,air,1,5.2349032119,0.740714138,-0.9022390838,0.0504840024,0.7424325348
182,7.7,8.1903426826,0.5153448496,3.387,air,1,5.2596239963,0.7507642564,-0.9010881901,0.0560509824,0.7528536918
183,7.734,8.1726082262,0.5156272313,3.387,air,1,5.2853731456,0.7610956361,-0.8997201018,0.0619571415,0.7636132887
184,7.767,8.155348336,0.5158865562,3.387,air,1,5.3106365847,0.7711182291,-0.8982095368,0.0678587223,0.7740982686
185,7.8,8.1380423828,0.51612884,3.387,air,1,5.3361705835,0.7811529864,-0.8965132138,0.0739304135,0.7846436734
186,7.834,8.1201643741,0.5163580045,3.387,air,1,5.3627669257,0.7915213298,-0.8945651791,0.0803675687,0.7955909511
187,7.9,8.0853253737,0.5167334121,3.387,air,1,5.4152635284,0.8117901875,-0.8901808514,0.0934024056,0.8171458364
188,7.934,8.0673110799,0.516885797,3.387,air,1,5.4427760838,0.8223286026,-0.8876006691,0.1004021343,0.8284352233
189,7.967,8.0497850958,0.5170037037,3.387,air,1,5.4698005563,0.8326309392,-0.8848806772,0.107386032,0.8395272722
190,8,8.0322200117,0.5170896493,3.387,air,1,5.4971545051,0.8430104724,-0.8819438002,0.1145611137,0.8507590172
191,8.034,8.0140839106,0.517142307,3.387,air,1,5.525696188,0.8537866862,-0.8786868663,0.1221582569,0.8624815043
192,8.067,7.9964459654,0.5171562578,3.387,air,1,5.5537605389,0.8643239492,-0.8752977164,0.1297357435,0.8740064372
193,8.1,7.9787758414,0.5171313984,3.387,air,1,5.5821949685,0.8749333628,-0.8716805674,0.1375198342,0.885674937
194,8.134,7.960539525,0.5170629819,3.387,air,1,5.6118914608,0.8859318707,-0.8677120243,0.1457629555,0.8978430367
195,8.167,7.9428128105,0.5169529901,3.387,air,1,5.6411152672,0.8966622075,-0.8636224465,0.1539880807,0.9097886806
196,8.2,7.9250629809,0.5167981627,3.387,air,1,5.670744738,0.9074344922,-0.8592956534,0.1624431417,0.9218596054
197,8.234,7.9067547181,0.5165898937,3.387,air,1,5.7017065555,0.918561673,-0.8545864051,0.1714053895,0.9344171203
198,8.267,7.8889686916,0.5163387688,3.387,air,1,5.7321880696,0.9293722556,-0.8497683678,0.1803590643,0.946711245
199,8.3,7.8711705098,0.5160378958,3.387,air,1,5.7631007007,0.9401748696,-0.8447030873,0.1895765097,0.9590975125
200,8.334,7.8528244788,0.5156744668,3.387,air,1,5.7954071018,0.9512754653,-0.8392214043,0.1993636853,0.971941814
201,8.367,7.8350140168,0.5152686571,3.387,air,1,5.8272114188,0.9619991435,-0.8336409358,0.2091603484,0.984474684
202,8.4,7.8172039139,0.5148095523,3.387,air,1,5.859460169,0.9726501819,-0.8277987698,0.2192665034,0.9970587625
203,8.434,7.7988591371,0.5142799128,3.387,air,1,5.8931525649,0.9835226594,-0.8214989968,0.2300213295,1.0100626879
204,8.467,7.7810634152,0.5137102222,3.387,air,1,5.9263066125,0.9939512544,-0.8151043427,0.2408116114,1.0227068633
205,8.5,7.7632817003,0.5130852573,3.387,air,1,5.9599047231,1.004231201,-0.808424599,0.2519686605,1.0353591217
206,8.534,7.7449807319,0.5123832441,3.387,air,1,5.994981614,1.0146386798,-0.8012330831,0.2638695668,1.0483886678
207,8.567,7.7272418833,0.5116453853,3.387,air,1,6.0294682526,1.0245331655,-0.7939401858,0.2758364908,1.0610155403
208,8.6,7.7095313427,0.5108519818,3.387,air,1,6.0643820064,1.0341955759,-0.7863246703,0.2882355246,1.0736108265
209,8.634,7.6913187717,0.5099767598,3.387,air,1,6.1007900398,1.0438784409,-0.7781236997,0.3014855564,1.0865430227
210,8.667,7.67368039,0.5090717147,3.387,air,1,6.1365381893,1.052983795,-0.7698007191,0.3148293881,1.0990415898
211,8.7,7.6560847539,0.5081126373,3.387,air,1,6.1726764204,1.0617736369,-0.7610990314,0.3286705001,1.1114798935
212,8.734,7.6380055943,0.5070689286,3.387,air,1,6.210299828,1.0704727938,-0.751713364,0.3434716198,1.1242262921
213,8.767,7.6205111504,0.5060030998,3.387,air,1,6.2471755596,1.0785451293,-0.7421701963,0.3583799936,1.1365279652
214,8.8,7.6030734975,0.5048865363,3.387,air,1,6.2843833038,1.0862302767,-0.7321727944,0.373838043,1.1487606785
