"","radtime","narrow.band","qrad.narrow","wide.band","qrad.wide"
"2683",21.81,0,0,-2.83063200000005e-08,-0.0164609113666669
"2684",21.82,0,0,-2.83063200000005e-08,-0.0164609113666669
"2685",21.83,0,0,-2.83063200000005e-08,-0.0164609113666669
"2686",21.84,0,0,-2.83063200000005e-08,-0.0164609113666669
"2687",21.85,0,0,-2.83063200000005e-08,-0.0164609113666669
"2688",21.86,0,0,-2.83063200000005e-08,-0.0164609113666669
"2689",21.87,0,0,-2.83063200000005e-08,-0.0164609113666669
"2690",21.88,0,0,-2.83063200000005e-08,-0.0164609113666669
"2691",21.89,0,0,-2.83063200000005e-08,-0.0164609113666669
"2692",21.9,0,0,-2.83063200000005e-08,-0.0164609113666669
"2693",21.91,0,0,-2.83063200000005e-08,-0.0164609113666669
"2694",21.92,0,0,-2.83063200000005e-08,-0.0164609113666669
"2695",21.93,0,0,-2.83063200000005e-08,-0.0164609113666669
"2696",21.94,0,0,-2.83063200000005e-08,-0.0164609113666669
"2697",21.95,0,0,-2.83063200000005e-08,-0.0164609113666669
"2698",21.96,0,0,-2.83063200000005e-08,-0.0164609113666669
"2699",21.97,0,0,-2.83063200000005e-08,-0.0164609113666669
"2700",21.98,0,0,-2.83063200000005e-08,-0.0164609113666669
"2701",21.99,0,0,-2.83063200000005e-08,-0.0164609113666669
"2702",22,1.969011e-07,0.00746255169,6.5494968e-07,0.380871431966667
"2703",22.01,4.892694e-07,0.01854331026,9.9657768e-07,0.579537603633333
"2704",22.02,4.17669e-08,0.00158296551,6.06145680000004e-07,0.352490550300002
"2705",22.03,2.327013e-07,0.00881937927000001,7.52557679999999e-07,0.437633195299999
"2706",22.04,2.267346e-07,0.00859324134,7.52557679999999e-07,0.437633195299999
"2707",22.05,0,0,-2.83063200000005e-08,-0.0164609113666669
"2708",22.06,0,0,-2.83063200000005e-08,-0.0164609113666669
"2709",22.07,0,0,-2.83063200000005e-08,-0.0164609113666669
"2710",22.08,0,0,4.10929679999999e-07,0.238967023633333
"2711",22.09,0,0,4.10929679999999e-07,0.238967023633333
"2712",22.1,7.16004000000009e-08,0.00271365516000003,6.06145680000004e-07,0.352490550300002
