expname,fuel,p,do,fiber,O2,He,CO2,N2,H2O,Hep,Methanol,Xe,D,tdelay,tofc
H03H101,Heptane,1,-,No,0.18,0.15,0,0.67,0,0,0,0,0,0,0
H03H201,Heptane,1,-,No,0.18,0.15,0,0.67,0,0,0,0,0,0,0
H03H202,Heptane,1,-,No,0.18,0.15,0,0.67,0,0,0,0,0,0,0
H04H101,Heptane,1,-,No,0.17,0.2,0,0.63,0,0,0,0,0,0,0
H04H201,Heptane,1,-,No,0.17,0.2,0,0.63,0,0,0,0,0,0,0
H04M101,Methanol,1,-,No,0.17,0.2,0,0.63,0,0,0,0,0,0,0
H04M202,Methanol,1,-,No,0.17,0.2,0,0.63,0,0,0,0,0,0,0
H05M102,Methanol,1,-,No,0.16,0.25,0,0.59,0,0,0,0,0,0,0
H05M202,Methanol,1,-,No,0.16,0.25,0,0.59,0,0,0,0,0,0,0
H05H103,Heptane,1,-,No,0.16,0.25,0,0.59,0,0,0,0,0,0,0
H06M201,Methanol,1,-,No,0.15,0.3,0,0.55,0,0,0,0,0,0,0
H07M101,Methanol,1,-,No,0.14,0.35,0,0.51,0,0,0,0,0,0,0
H07M202,Methanol,1,-,No,0.14,0.35,0,0.51,0,0,0,0,0,0,0
H08M101,Methanol,1,-,No,0.13,0.4,0,0.47,0,0,0,0,0,0,0
H10H101,Heptane,0.7,-,No,0.24,0.2,0,0.56,0,0,0,0,0,0,0
H11H101,Heptane,0.7,-,No,0.23,0.25,0,0.52,0,0,0,0,0,0,0
H10M101,Methanol,0.7,-,No,0.24,0.2,0,0.56,0,0,0,0,0,0,0
H11M101,Methanol,0.7,-,No,0.23,0.25,0,0.52,0,0,0,0,0,0,0
H12M101,Methanol,0.7,-,No,0.21,0.3,0,0.49,0,0,0,0,0,0,0
H12M102,Methanol,0.7,-,No,0.21,0.3,0,0.49,0,0,0,0,0,0,0
H12H101,Heptane,0.7,-,No,0.21,0.3,0,0.49,0,0,0,0,0,0,0
H12H201,Heptane,0.7,-,No,0.21,0.3,0,0.49,0,0,0,0,0,0,0
H13H101,Heptane,0.7,-,No,0.2,0.35,0,0.45,0,0,0,0,0,0,0
H13H201,Heptane,0.7,-,No,0.2,0.35,0,0.45,0,0,0,0,0,0,0
H13M102,Methanol,0.7,-,No,0.2,0.35,0,0.45,0,0,0,0,0,0,0
H13M201,Methanol,0.7,-,No,0.2,0.35,0,0.45,0,0,0,0,0,0,0
H14M101,Methanol,0.7,-,No,0.18,0.4,0,0.42,0,0,0,0,0,0,0
H14M201,Methanol,0.7,-,No,0.18,0.4,0,0.42,0,0,0,0,0,0,0
H14H101,Heptane,0.7,-,No,0.18,0.4,0,0.42,0,0,0,0,0,0,0
H14H201,Heptane,0.7,-,No,0.18,0.4,0,0.42,0,0,0,0,0,0,0
H15H101,Heptane,0.7,-,No,0.17,0.45,0,0.38,0,0,0,0,0,0,0
H15M102,Methanol,0.7,-,No,0.17,0.45,0,0.38,0,0,0,0,0,0,0
H19H101,Heptane,1,3.503,No,0.21,0.15,0,0.64,0,0,0,0,0,0,0
H19H201,Heptane,1,2.784,No,0.21,0.15,0,0.64,0,0,0,0,0,0,0
H22H101,Heptane,3,-,No,0.21,0.5,0,0.29,0,0,0,0,0,0,0
X119M02,Methanol,1,4.209,No,0.19,0,0,0.71,0,0,0,0.16,0,0,0
X119M04,Methanol,1,2.259,No,0.17,0,0,0.63,0,0,0,0.2,0,0,0
X119M05,Methanol,1,4.18,No,0.17,0,0,0.63,0,0,0,0.2,0,0,0
X119M06,Methanol,1,2.114,No,0.17,0,0,0.63,0,0,0,0.2,0,0,0
X100H01,Heptane,1,3.532,No,0.19,0,0,0.71,0,0,0,0.1,0,0,0
X100H03,Heptane,1,1.796,No,0.19,0,0,0.71,0,0,0,0.1,0,0,0
X100H04,Heptane,1,3.274,No,0.17,0,0,0.63,0,0,0,0.2,0,0,0
X100H07,Heptane,1,1.851,No,0.17,0,0,0.63,0,0,0,0.2,0,0,0
X121M01,Methanol,1,3.765,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X121M02,Methanol,1,2.6,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X121M03,Methanol,1,2.782,No,0.16,0,0,0.59,0,0,0,0.25,0,0,0
X129M01,Methanol,1,3.858,No,0.15,0,0,0.55,0,0,0,0.3,0,0,0
X129M02,Methanol,1,1.865,No,0.15,0,0,0.55,0,0,0,0.3,0,0,0
X129M03,Methanol,1,3.713,No,0.15,0,0,0.55,0,0,0,0.3,0,0,0
